Pressure,Initial Temperature,Length-to-diameter Ratio,N2,CH4,Final Temperature,Final Enthalpy,Reaction Rate,Catalyst Weight,Equipment Volume,Equipment Weight,Equipment Cost,Catalyst Cost,Total Cost,Objective Function
2500000.0,300.0,1.01,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,291.6801448831294,151354.50425405696,10319499.427517975,8268515.485630379,18588014.913148355,1.1271312965052627
2500000.0,300.0,1.01,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,291.6801448831294,151354.50425405696,10319499.427517975,8268515.485630379,18588014.913148355,1.1271312965052627
2500000.0,1290.0,1.01,2532.28,49.870000000000005,1307.9690947673794,-17423.857802366816,1e-07,1433720874.5530047,1010994.2533179839,508776200.75559396,10172990180.108303,28674417491.060097,38847407671.168396,1980.3028541012882
2500000.0,-690.0,1.01,2532.28,49.870000000000005,,,,,,,,,,
10500000.0,300.0,1.01,2532.28,49.870000000000005,304.28746263401973,-3363.4840914364704,4.650250437484206e-05,552374.114487899,409.9627488336075,835587.1324029384,43800016.74233337,11047482.28975798,54847499.03209135,3.765568988795999
-5500000.0,300.0,1.01,2532.28,49.870000000000005,20710.448117422515,-24763397204.520042,1e-07,1433720874.5530047,958257.0872492145,-1104565190.78354,,28674417491.060097,,
2500000.0,300.0,21.009999999999998,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,290.46308776893454,66265.30644967905,5158882.213772455,8268515.485630379,13427397.699402835,0.7385886381500819
2500000.0,300.0,-18.990000000000002,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,,,,8268515.485630379,,
2500000.0,300.0,1.01,8532.28,49.870000000000005,302.7289682858063,-3296.283635784619,2.4086033796752783e-05,1042012.7145136099,735.0525453942245,378154.30997946125,22369116.840136733,20840254.2902722,43209371.13040893,2.5667672029392614
2500000.0,300.0,1.01,-3467.72,49.870000000000005,335.0716312272574,-3228.7856470700153,0.00020229897398706397,145294.47166690565,102.5318915382423,53921.34169300682,4344029.943431127,2905889.433338113,7249919.37676924,0.45012800290591504
2500000.0,300.0,1.01,2532.28,6049.87,302.73016100125136,-3296.350342200816,2.4086612213627988e-05,1042090.2846996879,735.107257209762,378182.2321991496,22370515.181339517,20841805.69399376,43212320.87533328,2.566938186872507
2500000.0,300.0,1.01,2532.28,-5950.13,334.26442512295955,-3230.555093269775,0.00019967981839778872,149137.81935493948,105.24336061957672,55325.63284243012,4438038.695246287,2982756.3870987897,7420795.082345076,0.4604612797343944
2500000.0,795.0,1.01,2532.28,49.870000000000005,807.1699819573083,-3360.92267591318,1e-07,1433720874.5530047,1010994.2533179839,508776200.75559396,10172990180.108303,28674417491.060097,38847407671.168396,1980.3028541012882
2500000.0,-195.0,1.01,2532.28,49.870000000000005,,,,,,,,,,
6500000.0,300.0,1.01,2532.28,49.870000000000005,342.13625630910917,-3245.474441423992,9.028557072750919e-05,332399.19061578054,240.627481393489,311882.2742668331,19003338.68879081,6647983.812315611,25651322.50110642,1.7123067065012985
-1500000.0,300.0,1.01,2532.28,49.870000000000005,17279.9182169441,-16009660015.95754,1e-07,1433720874.5530047,984641.4705975578,-301969136.2710196,,28674417491.060097,,
2500000.0,300.0,11.01,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,290.445567700319,68986.25949706046,5335293.039881688,8268515.485630379,13603808.525512066,0.7518706020121848
2500000.0,300.0,-8.99,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,,,,8268515.485630379,,
2500000.0,300.0,1.01,5532.28,49.870000000000005,302.73284459691484,-3295.905196290443,3.2155942675014565e-05,779897.5900485464,550.1750791093069,283729.8777524406,17541938.25890634,15597951.800970929,33139890.05987727,1.9813144596365637
2500000.0,300.0,1.01,-467.7199999999999,49.870000000000005,325.7762580404249,-3248.613916102777,0.00010396984859838139,280151.0432130462,197.66735978201146,103029.79211460613,7466693.901498293,5603020.864260924,13069714.765759217,0.7994583838096049
2500000.0,300.0,1.01,2532.28,3049.8700000000003,302.737564330207,-3295.9240434861076,3.2158998412489984e-05,779850.98843432,550.1422091447411,283713.07515381,17541059.72485381,15597019.768686399,33138079.49354021,1.9812088427155161
2500000.0,300.0,1.01,2532.28,-2950.13,332.33303479856073,-3235.106723314131,0.00011607415291536826,251190.33434638736,177.237579640334,92506.54311648887,6821080.702582605,5023806.686927747,11844887.389510352,0.7263201234881035
2500000.0,547.5,1.01,2532.28,49.870000000000005,564.8768312448138,-2807.7905270363935,1e-07,126793652.16962202,89413.15542530097,45119885.05435214,1297596475.2999287,2535873043.3924403,3833469518.692369,205.09173520512402
2500000.0,52.50000000000001,1.01,2532.28,49.870000000000005,32.76577940230559,-3528.3622679617056,1e-07,1433720874.5530047,1010994.2533179839,508776200.75559396,10172990180.108303,28674417491.060097,38847407671.168396,1980.3028541012882
4500000.0,300.0,1.01,2532.28,49.870000000000005,334.63713334316697,-3246.921108521501,8.024537403739198e-05,365247.2793447948,261.04957161775184,237981.58874212822,15119085.482610399,7304945.586895896,22424031.069506295,1.447684168521889
500000.0,300.0,1.01,2532.28,49.870000000000005,300.5930842240377,-3279.739799914745,4.31624927961843e-05,582233.0502473031,405.4023235788381,47298.487354524696,3895512.467671737,11644661.004946062,15540173.4726178,0.786451376725779
2500000.0,300.0,6.01,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,290.5002339539711,75145.92601155036,5730874.882663375,8268515.485630379,13999390.368293755,0.7816539427300452
2500000.0,300.0,-3.99,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,,,,8268515.485630379,,
2500000.0,300.0,1.01,4032.28,49.870000000000005,302.76807631422275,-3295.6193739354876,3.7828854042368256e-05,663008.3742866627,467.72782294654,241564.1755196194,15311192.568436483,13260167.485733254,28571360.054169737,1.7143551351679245
2500000.0,300.0,1.01,1032.2800000000002,49.870000000000005,325.2166543434999,-3250.0438076164373,8.316474882644695e-05,348375.0578216264,245.79357909918676,127785.7346138407,8948544.297082523,6967501.156432528,15916045.453515051,0.9688134010066767
2500000.0,300.0,1.01,2532.28,1549.87,325.7516467455539,-3249.4397764652767,5.803328135740201e-05,493636.2913129159,348.2591687973445,180378.52462726054,11964649.636727814,9872725.826258318,21837375.462986134,1.3189338618247846
2500000.0,300.0,1.01,2532.28,-1450.13,326.2456283869784,-3247.9305890872874,8.464870678711448e-05,342858.9251052044,241.90246889956623,125785.69111328878,8830540.590550689,6857178.502104088,15687719.092654776,0.9552566759647703
2500000.0,423.75,1.01,2532.28,49.870000000000005,445.67973823342544,-2994.961509881521,0.00021031067950518312,90206.9706844777,63.666182924464685,33742.394536743544,2945669.1532937954,1804139.413689554,4749808.56698335,0.2981856998647273
2500000.0,176.25,1.01,2532.28,49.870000000000005,214.10040066895698,-3450.3985192570635,3.5719849664298143e-06,12733066.62352601,8980.036504904441,4557242.845481095,184928210.58596623,254661332.4705202,439589543.0564864,24.708298108052226
3500000.0,300.0,1.01,2532.28,49.870000000000005,331.8785792838333,-3244.8016921002218,7.67157601629155e-05,378147.4098333774,268.53166504562296,192389.8434994982,12633545.15181715,7562948.196667548,20196493.3484847,1.2714745047862703
1500000.0,300.0,1.01,2532.28,49.870000000000005,301.63831710521856,-3287.762667353012,4.4090871987877e-05,567724.9907798339,397.9110017262373,126566.16864961432,8876622.453507109,11354499.815596677,20231122.269103788,1.1491904422290267
2500000.0,300.0,3.51,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,290.6407436615403,85680.64501477423,6396444.3817932075,8268515.485630379,14664959.867423587,0.831764643020552
2500000.0,300.0,-1.49,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,,,,8268515.485630379,,
2500000.0,300.0,1.01,3282.28,49.870000000000005,326.4539539549919,-3247.8763072751262,6.401558226014809e-05,449147.3755995657,316.8776544605711,164284.86635255188,11057783.423318593,8982947.511991315,20040730.93530991,1.2129732946210527
2500000.0,300.0,1.01,1782.2800000000002,49.870000000000005,326.1935383931792,-3248.170645482818,7.661448704281601e-05,377303.848672864,266.1999784043608,138270.8248301529,9562752.984608103,7546076.973457281,17108829.958065383,1.0395601820103944
2500000.0,300.0,1.01,2532.28,799.87,326.25529377878286,-3248.288891490529,6.37983069886704e-05,450416.02861559694,317.7725396753123,164743.94759412372,11083831.457874257,9008320.572311938,20092152.030186195,1.2160090144517104
2500000.0,300.0,1.01,2532.28,-700.13,325.63329696877787,-3249.3176392428377,7.58811873738051e-05,381194.8390762284,268.94467144683586,139680.61334994718,9644793.69823727,7623896.781524568,17268690.47976184,1.0490327396881665
2500000.0,361.875,1.01,2532.28,49.870000000000005,386.2199015070269,-3120.9162176903137,0.00015867558178781199,164192.3592863063,115.8641757766211,60822.825399807974,4802698.083538274,3283847.185726126,8086545.2692644,0.5006678466790453
2500000.0,238.125,1.01,2532.28,49.870000000000005,298.29062770461917,-3304.193365729947,4.116330150949542e-05,1116378.2699259461,787.5039059688253,404917.9411080259,23702514.92891856,22327565.398518924,46030080.32743748,2.7301472110422473
3000000.0,300.0,1.01,2532.28,49.870000000000005,329.786101299917,-3245.0769308432737,7.40987249863436e-05,390128.4379128951,276.14229103134574,170659.4300476956,11418511.193573833,7802568.758257902,19221079.951831736,1.1901427229237276
2000000.0,300.0,1.01,2532.28,49.870000000000005,302.1974891635623,-3291.614829025677,4.459289397006907e-05,562204.0826797057,395.3335392138931,165234.95161883006,11111678.72825354,11244081.653594114,22355760.381847654,1.3127914618570358
2500000.0,300.0,2.2600000000000002,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,290.85814035285733,100152.14652955574,7291173.533160147,8268515.485630379,15559689.018790526,0.899128764128785
2500000.0,300.0,-0.23999999999999994,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,,,,8268515.485630379,,
2500000.0,300.0,1.01,2907.28,49.870000000000005,302.7587990221764,-3295.4590002777786,4.309555043962918e-05,581679.6043290226,410.36207134685895,212199.00449345313,13723263.911585413,11633592.086580452,25356855.998165864,1.5259136044878023
2500000.0,300.0,1.01,2157.28,49.870000000000005,325.8287718254181,-3248.9819089472094,7.25942753467037e-05,397669.7542610719,280.56598875782373,145648.63387207015,9990736.505142462,7953395.085221438,17944131.590363897,1.0890332109268661
2500000.0,300.0,1.01,2532.28,424.86999999999995,325.93434564467736,-3248.887617751936,6.633308893551149e-05,433998.8106730339,306.1921031227184,158802.39954283173,10745857.041278519,8679976.213460678,19425833.254739195,1.1766573532513818
2500000.0,300.0,1.01,2532.28,-325.13,325.91338101447013,-3248.8067220002213,7.269982210799598e-05,397244.8579994619,280.2662699715447,145494.7393207369,9981842.903185308,7944897.159989238,17926740.063174546,1.0880037197515646
2500000.0,330.9375,1.01,2532.28,49.870000000000005,356.55689368310453,-3184.6574598718234,0.00011126565982861258,248049.42633783168,175.02186620116242,91364.64713263762,6750380.533685823,4960988.526756634,11711369.060442457,0.718336723776412
2500000.0,269.0625,1.01,2532.28,49.870000000000005,302.7490031957418,-3295.4153748093904,4.5091712122849925e-05,606612.5877531358,427.948792498758,221204.1607722247,14213531.644269057,12132251.755062716,26345783.39933177,1.583944379090446
2750000.0,300.0,1.01,2532.28,49.870000000000005,327.4685240049764,-3247.7937253769287,7.126159974616931e-05,405361.4021696422,286.45707222138947,162842.6694718061,10975882.70579363,8107228.0433928445,19083110.749186475,1.1697197463421694
2250000.0,300.0,1.01,2532.28,49.870000000000005,302.4735498958856,-3293.521524989259,4.4842121532632816e-05,558557.4418598402,393.41115469018075,184004.96139720522,12167286.297747139,11171148.837196805,23338435.134943943,1.3891793637926726
2500000.0,300.0,1.635,2532.28,49.870000000000005,326.2080091976592,-3248.2644682954797,6.974581826128022e-05,413425.77428151894,291.10576799101227,115887.69895531691,8242301.051089689,8268515.485630379,16510816.536720067,0.9707391159422827
